Trường: Đại Học Quy Nhơn - 2023,,,,,
✯ Điểm chuẩn xét điểm thi THPT - Xem ngay,,,,,
✯ Điểm chuẩn xét Học bạ - Xem ngay,,,,,
✯ Điểm chuẩn xét điểm ĐGNL HCM - Xem ngay,,,,,
Điểm chuẩn xét điểm thi THPT 2023,,,,,
STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
30,7460108,Khoa học dữ liệu,A00; A01; D07; D90,15,
31,7460112,Toán ứng dụng,A00; A01; D07; D90,15,
32,7480103,Kỹ thuật phần mềm,A00; A01,15,
33,7480107,Trí tuệ nhân tạo,A00; A01; D07; D90,15,
34,7480201,Công nghệ thông tin,A00; A01; D01,15,
35,7510205,Công nghệ kỹ thuật ô tô,A00; A01,22,
36,7510401,Công nghệ kỹ thuật hoá học,A00; B00; C02; D07,15,
37,7510605,Logistics và quản lý chuỗi cung ứng,A00; A01; D01,21,
38,7520201,Kỹ thuật điện,A00; A01; D07,15,
39,7520207,Kỹ thuật điện tử - viễn thông,A00; A01; D07,15,
40,7520216,Kỹ thuật điều khiển và Tự động hóa,A00; A01; D07,15,
41,7540101,Công nghệ thực phẩm,A00; B00; C02; D07,15,
42,7580201,Kỹ thuật xây dựng,A00; A01; D07,15,
43,7620109,Nông học,B00; B03; B04; C08,15,
44,7760101,Công tác xã hội,C00; D01; D14,15,
45,7810103,Quản trị dịch vụ du lịch và lữ hành,A00; A01; D01; D14,17.75,
46,7810201,Quản trị khách sạn,A00; A01; D01,15,
47,7850101,Quản lý tài nguyên và môi trường,A00; B00; C04; D01,15,
48,7850103,Quản lý đất đai,A00; B00; C04; D01,15,
"Học sinh lưu ý, để làm hồ sơ chính xác thí sinh xem mã ngành, tên ngành, khối xét tuyển năm 2023 tại đây",,,,,
>> Xem thêm điểm chuẩn xét điểm thi THPT năm 2022,,,,,
Điểm chuẩn xét Học bạ 2023,,,,,
STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,7140201,Giáo dục mầm non,M00,24,Học lực lớp 12 Giỏi
2,7140206,Giáo dục thể chất,T00; T02; T03; T05,25.5,"Học lực lớp 12 Giỏi, Khá"
3,7140202,Giáo dục Tiểu học,A00; C00; D01,28,Học lực lớp 12 Giỏi
4,7140205,Giáo dục chính trị,C00; C19; D01,24.5,Học lực lớp 12 Giỏi
5,7140209,Sư phạm Toán học,A00; A01,29.25,Học lực lớp 12 Giỏi
6,7140210,Sư phạm Tin học,A00; A01; D07,21,Học lực lớp 12 Giỏi
7,7140211,Sư phạm Vật lý,A00; A01; A02,28,Học lực lớp 12 Giỏi
8,7140213,Sư phạm Sinh học,B00; B08; A02,26.5,Học lực lớp 12 Giỏi
9,7140217,Sư phạm Ngữ văn,C00; D14; D15,28,Học lực lớp 12 Giỏi
10,7140218,Sư phạm Lịch sử,C00; C19; D14,27,Học lực lớp 12 Giỏi
11,7140219,Sư phạm Địa lý,A00; C00; D15,25.5,Học lực lớp 12 Giỏi
12,7140231,Sư phạm Tiếng Anh,D01,28.5,Học lực lớp 12 Giỏi
13,7140247,Sư phạm Khoa học tự nhiên,A00; A01; A02; B00,21,Học lực lớp 12 Giỏi
14,7140249,Sư phạm Lịch sử - Địa lý,C00; C19; C20,23,Học lực lớp 12 Giỏi
15,7140114,Quản lý Giáo dục,A00; A01; C00; D01,18,
16,7220201,Ngôn ngữ Anh,A01; D01; D14; D15,24,
17,7220204,Ngôn ngữ Trung Quốc,A01; D01; D04; D15,26,
18,7229030,Văn học,C00; C19; D14; D15,18,
19,7310101,Kinh tế,A00; A01; D01,24.5,
20,7310205,Quản lý nhà nước,A00; C00; C19; D01,18,
21,7310403,Tâm lý học giáo dục,A00; C00; C19; D01,18,
22,7310608,Đông phương học,C00; C19; D14; D15,18,
23,7310630,Việt Nam học,C00; C19; D01; D15,18,
24,7340101,Quản trị kinh doanh,A00; A01; D01,23,
25,7340201,Tài chính - Ngân hàng,A00; A01; D01,24,
26,7340301,Kế toán,A00; A01; D01,23,
27,7340302,Kiểm toán,A00; A01; D01,21,
28,7380101,Luật,A00; C00; C19; D01,23,
29,7460108,Khoa học dử liệu,A00; A01; D07; D90,19,
30,7460112,Toán ứng dụng,A00; A01; D07; D90,20,
31,7480103,Kỹ thuật phần mềm,A00; A01,21,
32,7480107,Trí tuệ nhân tạo,A00; A01; D07; D90,19,
33,7480201,Công nghệ thông tin,A00; A01; D01,23,
34,7510205,Công nghệ kỹ thuật ô tô,A00; A01,21,
35,7510401,Công nghệ kỹ thuật hoá học,A00; B00; C02; D07,18,
36,7510605,Logistics và Quản lý chuỗi cung ứng,A00; A01; D01,25,
37,7520201,Kỹ thuật điện,A00; A01; D07,18,
38,7520207,Kỹ thuật điện tử - viễn thông,A00; A01; D07,18,
39,7520216,Kỹ thuật điều khiển và Tự động hóa,A00; A01; D07,18,
40,7540101,Công nghệ thực phẩm,A00; B00; C02; D07,18.5,
41,7580201,Kỹ thuật xây dựng,A00; A01; D07,18,
42,7620109,Nông học,B00; B03; B04; C08,18,
43,7760101,Công tác xã hội,C00; D01; D14,18,
44,7810103,Quản trị dịch vụ du lịch và lữ hành,A00; A01; D01; D14,24,
45,7810201,Quản trị khách sạn,A00; A01; D01,22,
46,7850101,Quản lý tài nguyên và môi trường,A00; B00; C04; D01,18,
47,7850103,Quản lý đất đai,A00; B00; C04; D01,19,
48,7340301CLC,Kế toán chất lượng cao,A00; A01; D01,20,
"Học sinh lưu ý, để làm hồ sơ chính xác thí sinh xem mã ngành, tên ngành, khối xét tuyển năm 2023 tại đây",,,,,
>> Xem thêm điểm chuẩn xét học bạ năm 2022,,,,,
Điểm chuẩn xét điểm ĐGNL HCM 2023,,,,,
STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,7140114,Quản lý Giáo dục,,650,
2,7140201,Giáo dục mầm non,,700,
3,7140202,Giáo dục Tiểu học,,700,
4,7140205,Giáo dục chính trị,,700,
5,7140206,Giáo dục thể chất,,700,
6,7140209,Sư phạm Toán học,,700,
7,7140210,Sư phạm Tin học,,700,
8,7140211,Sư phạm Vật lý,,700,
9,7140213,Sư phạm Sinh học,,700,
10,7140217,Sư phạm Ngữ văn,,700,
11,7140218,Sư phạm Lịch sử,,700,
12,7140219,Sư phạm Địa lý,,700,
13,7140231,Sư phạm Tiếng Anh,,700,
14,7140247,Sư phạm Khoa học tự nhiên,,700,
15,7140249,Sư phạm Lịch sử Địa lý,,700,
16,7220201,Ngôn ngữ Anh,,650,
17,7220204,Ngôn ngữ Trung Quốc,,700,
18,7229030,Văn học,,700,
19,7310101,Kinh tế,,700,
20,7310205,Quản lý nhà nước,,650,
21,7310403,Tâm lý học giáo dục,,650,
22,7310608,Đông phương học,,700,
23,7310630,Việt Nam học,,700,
24,7340101,Quản trị kinh doanh,,700,
25,7340201,Tài chính - Ngân hàng,,700,
26,7340301,Kế toán,,700,
27,7340301CLC,Kế toán CLC,,700,
28,7340302,Kiểm toán,,700,
29,7380101,Luật,,700,
30,7460108,Khoa học dữ liệu,,700,
31,7460112,Toán ứng dụng,,700,
32,7480103,Kỹ thuật phần mềm,,700,
33,7480107,Trí tuệ nhân tạo,,700,
34,7480201,Công nghệ thông tin,,700,
35,7510205,Công nghệ kỹ thuật ô tô,,700,
36,7510401,Công nghệ kỹ thuật hoá học,,700,
37,7510605,Logistics và quản lý chuỗi cung ứng,,700,
38,7520201,Kỹ thuật điện,,700,
39,7520207,Kỹ thuật điện tử - viễn thông,,700,
40,7520216,Kỹ thuật điều khiển và Tự động hóa,,700,
41,7540101,Công nghệ thực phẩm,,650,
42,7580201,Kỹ thuật xây dựng,,700,
43,7620109,Nông học,,700,
44,7760101,Công tác xã hội,,650,
45,7810103,Quản trị dịch vụ du lịch và lữ hành,,700,
46,7810201,Quản trị khách sạn,,700,
47,7850101,Quản lý tài nguyên và môi trường,,700,
48,7850103,Quản lý đất đai,,700,
